OrderDateUTC,Order_year,Order_month,Orderweek,Haul,Brand/Channel,Policy_type,58%Insurance_Premium,Insurance_purch,Travix_booking,Travix_revenue
2017-01-04,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,339,0.0
2017-01-04,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,357.164,8,8,405.164
2017-01-04,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,269.5028,8,8,317.5028
2017-01-04,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,57,0.0
2017-01-04,2017,1,1,Long Haul,VLIEGWINKEL,Travel Insurance,192.38599999999997,3,3,210.38599999999997
2017-01-04,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,98.92479999999999,7,7,140.9248
2017-01-04,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,116,0.0
2017-01-04,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,839.0164000000002,69,69,1253.0164
2017-01-04,2017,1,1,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,843,0.0
2017-01-04,2017,1,1,Short Haul,CHEAPTICKETSNL,Travel Insurance,148.59599999999998,18,18,256.596
2017-01-04,2017,1,1,Short Haul,VLIEGWINKEL,Cancellation Insurance,107.93799999999999,6,6,143.938
2017-01-04,2017,1,1,Short Haul,VLIEGWINKEL,No insurance,0.0,0,136,0.0
2017-01-04,2017,1,1,Short Haul,VLIEGWINKEL,Travel Insurance,23.141999999999996,3,3,41.141999999999996
2017-01-05,2017,1,1,Long Haul,BUDGETAIR,Cancellation Insurance,181.78939999999997,5,5,211.78939999999997
2017-01-05,2017,1,1,Long Haul,BUDGETAIR,No insurance,0.0,0,113,0.0
2017-01-05,2017,1,1,Long Haul,BUDGETAIR,Travel Insurance,32.364,1,1,38.364
2017-01-05,2017,1,1,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1075.9347999999998,29,29,1249.9347999999995
2017-01-05,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,274,0.0
2017-01-05,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,499.844,10,10,559.8439999999999
2017-01-05,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,172.75879999999998,6,6,208.75879999999998
2017-01-05,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,55,0.0
2017-01-05,2017,1,1,Long Haul,VLIEGWINKEL,Travel Insurance,53.94,2,2,65.94
2017-01-05,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,79.99359999999999,7,7,121.99359999999999
2017-01-05,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,147,0.0
2017-01-05,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,838.6393999999998,70,70,1258.6393999999998
2017-01-05,2017,1,1,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,789,0.0
2017-01-05,2017,1,1,Short Haul,CHEAPTICKETSNL,Travel Insurance,238.72799999999998,20,20,358.728
2017-01-05,2017,1,1,Short Haul,VLIEGWINKEL,Cancellation Insurance,131.38739999999999,12,12,203.38739999999999
2017-01-05,2017,1,1,Short Haul,VLIEGWINKEL,No insurance,0.0,0,121,0.0
2017-01-06,2017,1,1,Long Haul,BUDGETAIR,Cancellation Insurance,253.79059999999996,10,10,313.7905999999999
2017-01-06,2017,1,1,Long Haul,BUDGETAIR,No insurance,0.0,0,118,0.0
2017-01-06,2017,1,1,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1099.042,33,33,1297.042
2017-01-06,2017,1,1,Long Haul,CHEAPTICKETSNL,No insurance,0.0,0,265,0.0
2017-01-06,2017,1,1,Long Haul,CHEAPTICKETSNL,Travel Insurance,220.168,8,8,268.168
2017-01-06,2017,1,1,Long Haul,VLIEGWINKEL,Cancellation Insurance,148.7584,4,4,172.7584
2017-01-06,2017,1,1,Long Haul,VLIEGWINKEL,No insurance,0.0,0,49,0.0
2017-01-06,2017,1,1,No Hual,VLIEGWINKEL,No insurance,0.0,0,1,0.0
2017-01-06,2017,1,1,Short Haul,BUDGETAIR,Cancellation Insurance,143.289,6,6,179.289
2017-01-06,2017,1,1,Short Haul,BUDGETAIR,No insurance,0.0,0,141,0.0
2017-01-06,2017,1,1,Short Haul,BUDGETAIR,Travel Insurance,10.788,1,1,16.788
2017-01-06,2017,1,1,Short Haul,CHEAPTICKETSNL,Cancellation Insurance,756.0532000000002,58,58,1104.0532
2017-01-06,2017,1,1,Short Haul,CHEAPTICKETSNL,No insurance,0.0,0,704,0.0
2017-01-06,2017,1,1,Short Haul,CHEAPTICKETSNL,Travel Insurance,113.27399999999999,13,13,191.274
2017-01-06,2017,1,1,Short Haul,VLIEGWINKEL,Cancellation Insurance,128.71939999999998,8,8,176.7194
2017-01-06,2017,1,1,Short Haul,VLIEGWINKEL,No insurance,0.0,0,114,0.0
2017-01-06,2017,1,1,Short Haul,VLIEGWINKEL,Travel Insurance,12.18,1,1,18.18
2017-01-07,2017,1,1,Long Haul,BUDGETAIR,Cancellation Insurance,192.7514,7,7,234.7514
2017-01-07,2017,1,1,Long Haul,BUDGETAIR,No insurance,0.0,0,82,0.0
2017-01-07,2017,1,1,Long Haul,BUDGETAIR,Travel Insurance,165.416,3,3,183.416
2017-01-07,2017,1,1,Long Haul,CHEAPTICKETSNL,Cancellation Insurance,1421.1798,41,41,1667.1798
